cluster_id,total_PRCSF,total_AI,total_PLA_AI,total_PLAN_AI,total_PLAAF_AI,total_PLARF_AI,total_PLAOther_AI,total_PAP_AI,total_MPS_AI,NP,growth_percent_5yr,growth_percent_3yr,citations_per_paper,ai_percent,nlp_percent,cv_percent,ro_percent,max_type,level1_mag,subject
5052,38,5,5,0,0,0,5,0,0,2499,13.76,0.0,25.7,2.76,0.0,0.0,0.2,Other,anesthesia,"propofol,bispectral index,remifentanil"
11856,38,1,1,0,0,1,0,0,0,1849,-12.12,-1.69,9.76,0.49,0.0,0.0,0.0,Other,mechanics,"hypervelocity impact,hypervelocity,space debris"
47695,38,1,1,0,0,0,1,0,0,881,-59.38,-43.48,41.93,0.11,0.0,0.0,0.0,Other,internal medicine,"systemic inflammatory response syndrome,patients,sepsis"
34051,38,12,10,3,2,3,4,1,1,1219,-82.61,-72.73,5.25,11.81,0.0,0.33,3.69,Other,artificial intelligence,"method,paper,extenics"
75470,38,4,4,0,0,0,4,0,0,471,-34.62,-10.53,12.24,0.42,0.0,0.0,0.0,Other,metallurgy,"results,coatings,coating"
45114,38,1,1,0,0,0,1,0,0,725,-23.68,-27.5,25.06,0.0,0.0,0.0,0.0,Other,internal medicine,"patients,trauma,injury"
4265,38,1,1,0,1,0,0,0,0,2126,13.84,-2.69,17.43,0.19,0.0,0.0,0.0,Other,electronic engineering,"system,orthogonal frequency-division multiplexing,paper"
2685,38,1,1,0,0,0,1,0,0,2602,-19.05,-6.42,32.82,0.0,0.0,0.0,0.0,Other,microbiology,"tuberculosis,mycobacterium tuberculosis,resistance"
80588,38,1,1,1,0,0,0,0,0,568,-13.79,8.7,5.8,2.82,0.0,0.0,0.7,Other,structural engineering,"method,model,results"
15366,38,11,11,0,0,1,10,0,0,1849,528.81,183.21,17.75,4.38,0.0,0.05,2.38,Other,composite material,"additive manufacturing,manufacturing,wire"
8877,38,1,1,1,0,0,0,0,0,2018,-22.97,-31.33,16.07,0.64,0.0,0.0,0.15,Other,optics,"fiber bragg grating,sensors,grating"
4004,38,3,3,1,0,0,2,0,0,2907,3.2,10.26,32.6,0.1,0.0,0.0,0.0,Other,internal medicine,"disseminated intravascular coagulation,coagulation,patients"
12473,38,8,8,6,1,0,1,0,0,2246,66.45,41.34,19.06,5.39,0.0,0.0,0.22,Other,reliability engineering,"failure mode and effects analysis,fmea,system"
24585,38,3,3,1,0,0,2,0,0,1262,-26.03,-22.86,19.85,0.16,0.0,0.0,0.0,Other,meteorology,"model,waves,results"
